,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,北 海 道,青　  森,岩　  手,宮  　城,秋  　田,山  　形,福　  島,茨　  城,栃　  木,群　  馬,埼　  玉,千　  葉,東　  京,神 奈 川,新　  潟,富　  山,石　  川,福　  井,山　  梨,長　  野,岐　  阜,静　  岡,愛　  知,三　  重,滋　  賀,京　  都,大　  阪,兵　  庫,奈　  良,和 歌 山,鳥  　取,島　  根,岡　  山,広　  島,山  　口,徳　  島,香　  川,愛　  媛,高　  知,福  　岡,佐  　賀,長　  崎,熊　  本,大　  分,宮　  崎,鹿 児 島,沖　  縄
,北　 海 　道,"537,268 ","1,385 ",178 ,249 ,19 ,38 ,187 ,731 ,36 ,75 ,"1,077 ",407 ,482 ,"1,121 ",134 ,2 ,32 ,2 ,54 ,23 ,10 ,198 ,488 ,16 ,1 ,14 ,"1,052 ",151 ,0 ,7 , ,0 ,3 ,8 , , ,62 ,0 , ,30 ,30 , ,1 , ,2 ,0 , 
,青　　　　森,366 ,"63,676 ","8,168 ","2,601 ","2,845 ",333 ,"5,504 ",769 ,384 ,"1,046 ","3,567 ","1,032 ","2,877 ","1,892 ",584 ,26 ,22 ,27 ,60 ,185 ,35 ,129 ,642 ,29 ,30 ,81 ,"1,332 ",432 ,31 ,2 ,17 ,2 ,203 ,22 ,13 ,6 ,9 ,10 , ,75 ,0 ,68 ,133 ,2 ,116 ,108 , 
,岩　　　　手,111 ,"4,191 ","118,535 ","26,083 ","1,900 ","1,882 ","1,519 ","1,404 ","1,055 ",750 ,"2,987 ","1,174 ","1,851 ","2,891 ",506 ,47 ,171 ,39 ,11 ,112 ,0 ,"1,565 ","1,136 ",122 ,14 ,49 ,323 ,615 ,7 ,18 ,6 ,0 ,17 ,24 ,0 ,1 ,0 ,7 ,1 ,68 ,23 ,0 ,15 ,4 ,10 ,14 , 
,宮　　　　城,195 ,"6,347 ","19,232 ","104,319 ","12,629 ","11,974 ","20,406 ","2,847 ","2,544 ","1,264 ","12,738 ","5,033 ","4,378 ","5,766 ","3,006 ",747 ,262 ,54 ,32 ,654 ,60 ,"2,205 ","1,551 ",930 ,57 ,41 ,"1,186 ","2,028 ",8 ,49 ,1 ,4 ,16 ,134 ,66 ,15 ,29 ,3 ,2 ,305 ,3 ,11 ,180 ,10 ,3 ,2 , 
,秋　　　　田,0 ,"1,288 ","4,235 ","1,886 ","70,181 ","1,064 ","1,127 ","1,002 ",179 ,353 ,"1,695 ",489 ,825 ,"1,004 ","2,142 ",104 ,69 ,44 ,6 ,118 ,592 ,662 ,"1,496 ",86 ,6 ,234 ,301 ,419 ,1 , ,3 ,0 ,25 ,2 ,0 ,0 ,1 ,0 ,0 ,18 ,0 ,1 ,7 ,1 ,0 ,1 , 
,山　　　　形,38 ,"1,105 ","1,325 ","8,466 ","1,911 ","42,133 ","1,657 ","1,702 ",977 ,599 ,"2,540 ","1,206 ","3,275 ","3,119 ","3,782 ",94 ,148 ,90 ,79 ,226 ,75 ,153 ,957 ,209 ,82 ,194 ,"1,067 ",974 ,10 ,1 ,51 ,3 ,352 ,142 ,35 ,7 ,53 ,4 ,1 ,380 ,101 ,0 ,12 ,17 ,0 ,6 , 
,福　　　　島,205 ,"1,863 ","2,477 ","12,304 ",464 ,"3,993 ","107,098 ","10,780 ","8,256 ","4,076 ","10,464 ","4,605 ","5,773 ","9,138 ","2,911 ",199 ,378 ,81 ,305 ,593 ,566 ,"2,363 ","2,800 ",831 ,294 ,186 ,"1,262 ",712 ,14 ,56 ,7 ,11 ,"2,302 ",566 ,53 ,8 ,218 ,57 ,3 ,253 ,6 ,5 ,20 ,197 ,16 ,10 , 
,茨　　　　城,412 ,426 ,"1,401 ","11,459 ","1,250 ",595 ,"9,631 ","153,015 ","26,444 ","14,429 ","31,037 ","35,735 ","35,643 ","33,502 ","5,558 ","1,640 ",453 ,427 ,"1,637 ","2,847 ","1,124 ","6,620 ","8,308 ","2,244 ","2,086 ","2,177 ","7,664 ","3,672 ",325 ,794 ,39 ,66 ,"1,925 ",507 ,636 ,161 ,129 ,214 ,21 ,"1,546 ",485 ,59 ,180 ,101 ,450 ,90 ,9 
,栃　　　　木,649 ,"2,729 ","2,185 ","4,052 ","1,116 ","2,228 ","4,550 ","24,009 ","84,626 ","17,756 ","27,838 ","15,107 ","19,550 ","18,789 ","5,757 ",865 ,332 ,638 ,985 ,"6,073 ",664 ,"4,885 ","7,633 ","1,578 ",779 ,"1,318 ","6,172 ","1,820 ",138 ,85 ,102 ,205 ,"3,622 ",565 ,113 ,271 ,151 ,118 ,4 ,"1,211 ",533 ,12 ,51 ,58 ,61 ,150 , 
,群　　　　馬,49 ,618 ,613 ,"4,021 ",622 ,658 ,"3,706 ","12,186 ","9,384 ","112,942 ","36,975 ","12,287 ","28,634 ","26,530 ","2,066 ",292 ,324 ,87 ,"2,418 ","2,840 ","1,330 ","2,857 ","11,052 ","4,457 ","1,028 ","1,197 ","8,529 ","3,201 ",523 ,100 ,83 ,47 ,"1,069 ","1,365 ",246 ,66 ,345 ,366 ,92 ,"1,293 ",154 ,39 ,175 ,164 ,287 ,48 , 
,埼　　　　玉,"2,110 ","1,154 ",957 ,"5,608 ",360 ,"1,691 ","6,084 ","43,554 ","16,171 ","25,133 ","237,160 ","39,466 ","136,607 ","35,570 ","7,131 ",948 ,397 ,594 ,"31,592 ","5,945 ","1,780 ","9,775 ","15,035 ","3,074 ","1,698 ","1,248 ","5,029 ","3,963 ",365 ,137 ,23 ,65 ,"1,285 ",860 ,375 ,60 ,259 ,"1,542 ",25 ,"2,608 ",260 ,166 ,129 ,80 ,113 ,121 , 
,千　　　　葉,303 ,687 ,"1,736 ","9,020 ",410 ,"1,287 ","19,800 ","42,281 ","23,935 ","32,713 ","68,953 ","344,659 ","49,702 ","43,022 ","5,480 ","1,537 ",568 ,671 ,"1,428 ","5,856 ","3,052 ","12,313 ","14,059 ","6,260 ","2,439 ",376 ,"8,062 ","4,042 ",592 ,277 ,220 ,28 ,896 ,"1,645 ",858 ,66 ,663 ,259 ,52 ,"1,425 ",82 ,19 ,113 ,103 ,31 ,154 , 
,東　　　　京,624 ,"1,022 ","1,578 ","11,756 ",612 ,"1,186 ","5,340 ","15,840 ","10,262 ","8,383 ","65,610 ","31,153 ","305,514 ","36,153 ","2,978 ",828 ,"1,015 ",138 ,"1,328 ","4,037 ",556 ,"5,733 ","8,051 ","2,518 ",530 ,776 ,"19,694 ","5,640 ",331 ,"1,580 ",266 ,111 ,382 ,"2,553 ",93 ,133 ,238 ,597 ,962 ,"2,196 ",155 ,132 ,"1,130 ",116 ,46 ,278 , 
